dataset,classifier,seed,split,inverted,k,subset,macro_f1,accuracy,dimensions,fit_seconds
KTHTIPS2b,svm,42,official1_inverted,1,2,deit_s+lbp,0.9489913982877727,0.9494949494949495,438,0.5538727039999998
KTHTIPS2b,svm,42,official1_inverted,1,2,deit_s+mae_base,0.9391938183635162,0.9402356902356902,1152,1.5767067000000026
KTHTIPS2b,svm,42,official1_inverted,1,2,deit_s+resnet101,0.9634078427081202,0.9638047138047138,2432,1.575721564999995
KTHTIPS2b,svm,42,official1_inverted,1,2,deit_s+resnet50,0.931014950211826,0.9318181818181818,2432,1.3613304830000033
KTHTIPS2b,svm,42,official1_inverted,1,2,deit_s+siglip_base,0.963598904696055,0.9638047138047138,1152,1.4040386359999957
KTHTIPS2b,svm,42,official1_inverted,1,2,deit_s+swin_t,0.9503432852712245,0.9511784511784511,1152,1.3620765179999808
KTHTIPS2b,svm,42,official1_inverted,1,2,deit_s+swinv2_base,0.9506371387295908,0.9511784511784511,1408,1.7161913539999887
KTHTIPS2b,svm,42,official1_inverted,1,2,deit_s+vgg16,0.9287110422436118,0.9301346801346801,4480,0.8836399099999994
KTHTIPS2b,svm,42,official1_inverted,1,2,deit_s+vit_b16,0.952700064567587,0.9537037037037037,1152,1.3180039830000112
KTHTIPS2b,svm,42,official1_inverted,1,2,densenet121+dinov2,0.9890298302901454,0.9890572390572391,1792,2.048202760999999
KTHTIPS2b,svm,42,official1_inverted,1,2,densenet121+dinov2_large,0.9915576435614234,0.9915824915824916,2048,2.2330367739999986
KTHTIPS2b,svm,42,official1_inverted,1,2,densenet121+dinov2_small,0.9788923508395402,0.9789562289562289,1408,1.5793594689999964
KTHTIPS2b,svm,42,official1_inverted,1,2,densenet121+drlbp,0.9565967258137621,0.9562289562289562,1104,1.44633211499999
KTHTIPS2b,svm,42,official1_inverted,1,2,densenet121+efficientnet_b0,0.9424199957029217,0.9427609427609428,2304,2.7290327449999836
KTHTIPS2b,svm,42,official1_inverted,1,2,densenet121+eva02_base,0.9563051274241583,0.9562289562289562,1792,2.012785057000002
KTHTIPS2b,svm,42,official1_inverted,1,2,densenet121+gabor,0.9540220497237459,0.9537037037037037,1072,1.4228927259999864
KTHTIPS2b,svm,42,official1_inverted,1,2,densenet121+glcm,0.9558105369630016,0.9553872053872053,1042,1.4037377350000213
KTHTIPS2b,svm,42,official1_inverted,1,2,densenet121+hog,0.9534185661716805,0.9528619528619529,2788,4.07391784699999
KTHTIPS2b,svm,42,official1_inverted,1,2,densenet121+lbp,0.9549358180006225,0.9545454545454546,1078,1.4436406379999767
KTHTIPS2b,svm,42,official1_inverted,1,2,densenet121+mae_base,0.9519685489867598,0.9511784511784511,1792,2.478607995999994
KTHTIPS2b,svm,42,official1_inverted,1,2,densenet121+resnet101,0.9687504338632217,0.9688552188552189,3072,2.222718745999998
KTHTIPS2b,svm,42,official1_inverted,1,2,densenet121+resnet50,0.9256191084774081,0.9250841750841751,3072,2.1075332359999948
KTHTIPS2b,svm,42,official1_inverted,1,2,densenet121+siglip_base,0.9578758810984703,0.9579124579124579,1792,2.2589468049999937
KTHTIPS2b,svm,42,official1_inverted,1,2,densenet121+swin_t,0.9619665870745895,0.9621212121212122,1792,2.0734116200000017
KTHTIPS2b,svm,42,official1_inverted,1,2,densenet121+swinv2_base,0.9420402700107523,0.9427609427609428,2048,2.4337725880000107
KTHTIPS2b,svm,42,official1_inverted,1,2,densenet121+vgg16,0.8878487941111534,0.8863636363636364,5120,1.2397303369999975
KTHTIPS2b,svm,42,official1_inverted,1,2,densenet121+vit_b16,0.9442807537044476,0.9452861952861953,1792,2.0263648830000136
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2+dinov2_large,0.9906840416312851,0.9907407407407407,1792,2.19923505700001
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2+dinov2_small,0.9932534648515272,0.9932659932659933,1152,1.3083091079999747
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2+drlbp,0.9923873173441572,0.9924242424242424,848,0.9892475239999783
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2+efficientnet_b0,0.9795311448125242,0.9797979797979798,2048,2.4729151189999925
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2+eva02_base,0.9779093388145509,0.9781144781144782,1536,1.8054881260000002
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2+gabor,0.990738794423338,0.9907407407407407,816,0.9521279779999929
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2+glcm,0.99155380494429,0.9915824915824916,786,0.9159448480000094
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2+hog,0.9932491622734502,0.9932659932659933,2532,3.1091622300000097
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2+lbp,0.99152127422504,0.9915824915824916,822,0.9617716459999883
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2+mae_base,0.9856096525500551,0.9856902356902357,1536,1.8656776880000052
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2+resnet101,0.9863756615315914,0.9865319865319865,2816,1.9712612409999792
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2+resnet50,0.9949412151066521,0.9949494949494949,2816,1.7669657140000083
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2+siglip_base,0.9872905820302542,0.9873737373737373,1536,1.658609738000024
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2+swin_t,0.9839507737954356,0.984006734006734,1536,1.809670656999998
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2+swinv2_base,0.9856449739656593,0.9856902356902357,1792,2.1705863720000025
