dataset,classifier,seed,outer_fold,method,selected,n_test,accuracy,balanced_accuracy,precision_macro,recall_macro,macro_f1,roc_auc_ovr_macro,fit_predict_seconds,archived_accuracy,archived_macro_f1,delta_accuracy_vs_archive,delta_macro_f1_vs_archive
CUReT,svm,42,1,best_individual,dinov2_large,2806,0.9967925873129009,0.9967925873129009,0.9968532476001275,0.9967925873129009,0.9967961245753074,0.9999952224529218,4.933290121000027,0.9967925873129008,0.9967961245753074,1.1102230246251565e-16,0.0
CUReT,svm,42,1,full_concat,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,2806,1.0,1.0,1.0,1.0,1.0,1.0,51.95642579899959,1.0,1.0,0.0,0.0
CUReT,svm,42,1,gfs,dinov2_large+efficientnet_b0+eva02_base+densenet121+dinov2,2806,0.9992872416250891,0.9992872416250891,0.9993024066968957,0.9992872416250891,0.9992871574045555,0.999999741754212,12.682968405999418,0.9992872416250892,0.9992871574045556,-1.1102230246251565e-16,-1.1102230246251565e-16
CUReT,svm,42,1,topk_individual,dinov2_large+dinov2+dinov2_small+vit_b16+swin_t,2806,0.9996436208125445,0.9996436208125445,0.9996512033484478,0.9996436208125445,0.9996435787022778,0.9999998708771061,10.324464117999923,0.9996436208125444,0.9996435787022778,1.1102230246251565e-16,0.0
DTD,resmlp,42,0,best_homogeneous_self_supervised,siglip_base+dinov2_large+dinov2_small,1880,0.8632978723404255,0.8632978723404254,0.8641009932612689,0.8632978723404254,0.8618983667515043,0.9936037234042553,8.81271532000028,0.8638297872340426,0.8629873610237014,-0.0005319148936170359,-0.001088994272197108
DTD,resmlp,42,0,best_individual,siglip_base,1880,0.8446808510638298,0.8446808510638298,0.8493101315126332,0.8446808510638298,0.8442651966075458,0.9912497109158187,11.055603581000469,0.8351063829787234,0.8335000064458833,0.009574468085106425,0.010765190161662552
DTD,resmlp,42,0,full_concat,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,1880,0.8664893617021276,0.8664893617021275,0.8688323246016623,0.8664893617021275,0.8655590116920793,0.9940870721554117,29.64328698100053,0.8654255319148936,0.8645113913247591,0.0010638297872340718,0.0010476203673202011
DTD,resmlp,42,0,gfs,siglip_base+dinov2_large+eva02_base+densenet121+gabor,1880,0.8680851063829788,0.8680851063829786,0.8745043373851361,0.8680851063829786,0.8680598487461937,0.9942674606845511,8.34515335299966,0.8691489361702127,0.867949073332511,-0.0010638297872339608,0.00011077541368265109
DTD,resmlp,42,0,topk_individual,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small,1880,0.8734042553191489,0.8734042553191489,0.8750885352832201,0.8734042553191489,0.8722222227256035,0.993566720629047,15.357574834999468,0.8734042553191489,0.8722222227256035,0.0,0.0
DTD,resmlp,42,1,best_homogeneous_self_supervised,siglip_base+dinov2+mae_base+dinov2_large,1880,0.8531914893617021,0.8531914893617022,0.8535334515977825,0.8531914893617022,0.8504862438877137,0.9905602451433859,11.699890767999932,0.8611702127659574,0.8595302121981067,-0.007978723404255317,-0.009043968310393002
DTD,resmlp,42,1,best_individual,siglip_base,1880,0.8414893617021276,0.8414893617021277,0.8451567263216027,0.8414893617021277,0.841310073764528,0.9904421542553193,10.197420817999955,0.8436170212765958,0.8445083236095535,-0.0021276595744681437,-0.0031982498450254804
DTD,resmlp,42,1,full_concat,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,1880,0.8659574468085106,0.8659574468085104,0.8663074494104601,0.8659574468085104,0.8643513117879478,0.9918865633672524,44.77907119299999,0.8643617021276596,0.8628856462523586,0.0015957446808509967,0.0014656655355891335
DTD,resmlp,42,1,gfs,siglip_base+dinov2+resnet50+dinov2_large+eva02_base+lbp+deit_s+gabor,1880,0.8739361702127659,0.873936170212766,0.875228048345433,0.873936170212766,0.8725499147981988,0.9919695305272895,14.160584143999984,0.8691489361702127,0.8676177034995756,0.004787234042553212,0.004932211298623201
DTD,resmlp,42,1,topk_individual,dinov2+siglip_base+dinov2_large+eva02_base+dinov2_small+convnext_v2_t+swin_t+resnet101,1880,0.8776595744680851,0.8776595744680851,0.8788033166411553,0.8776595744680851,0.8763136692897349,0.9917626907955595,10.744957862000007,0.8776595744680851,0.8763136692897349,0.0,0.0
DTD,resmlp,42,2,best_homogeneous_self_supervised,siglip_base+dinov2_large+dinov2_small+mae_base,1880,0.872872340425532,0.8728723404255319,0.8755147467340006,0.8728723404255319,0.8725705444466946,0.9931819495837189,9.706688998000004,0.8675531914893617,0.8671941503755386,0.005319148936170248,0.0053763940711559766
