dataset,classifier,seed,outer_fold,run_mode_gfs,method_gfs,macro_f1_gfs,accuracy_gfs,k_gfs,dimensions_gfs,fit_seconds_gfs,selected_gfs,inner_f1_gfs,run_mode_topk,method_topk,macro_f1_topk,accuracy_topk,k_topk,dimensions_topk,fit_seconds_topk,selected_topk,inner_f1_topk,delta_gfs_topk,dimension_delta
FMD,svm,123,1,full,gfs,0.9899937460913072,0.99,3,2816,0.675729415997921,siglip_base+dinov2_large+densenet121,0.9824737770469478,full,topk_individual,0.9849937460913072,0.985,3,2560,0.4650930040002095,siglip_base+dinov2_large+dinov2,0.954478979104468,0.0050000000000000044,256
FMD,svm,123,2,full,gfs,0.9698337306681336,0.97,3,1590,0.4668074029978015,siglip_base+dinov2+lbp,0.9786684405667074,full,topk_individual,0.984971810389012,0.985,3,2560,0.4783743510001841,siglip_base+dinov2_large+eva02_base,0.9598551023678272,-0.015138079720878439,-970
FMD,svm,123,3,full,gfs,0.9599113954877158,0.96,4,2614,0.6415240049973363,siglip_base+dinov2_large+eva02_base+lbp,0.9874906073814932,full,topk_individual,0.9699566223250434,0.97,4,3328,0.5603545150001992,siglip_base+dinov2+dinov2_large+eva02_base,0.958989352455316,-0.01004522683732767,-714
FMD,svm,123,4,full,gfs,0.965077633107158,0.965,3,2816,0.7015343199964263,siglip_base+dinov2_large+densenet121,0.9824988206258916,full,topk_individual,0.9748395378690629,0.975,3,2560,0.4765208730000267,siglip_base+dinov2_large+dinov2,0.9604144830522564,-0.00976190476190486,256
FMD,svm,2026,0,full,gfs,0.9647055255399286,0.965,3,2816,0.7906054060003953,siglip_base+dinov2+efficientnet_b0,0.981260250767632,full,topk_individual,0.9849937460913072,0.985,3,2560,0.4446448399999099,siglip_base+dinov2_large+eva02_base,0.961177236982533,-0.020288220551378577,256
FMD,svm,2026,1,full,gfs,0.9592793034256448,0.96,4,2230,0.5448274189984659,siglip_base+dinov2_large+lbp+dinov2_small,0.9862720003573664,full,topk_individual,0.9699906191369604,0.97,4,3328,0.581967222000003,siglip_base+dinov2_large+dinov2+eva02_base,0.9614825396809512,-0.010711315711315561,-1098
FMD,svm,2026,2,full,gfs,0.9949968730456537,0.995,4,3328,1.5892219100060174,siglip_base+dinov2_large+eva02_base+mae_base,0.9786624100118968,full,topk_individual,0.9899937460913072,0.99,4,3328,0.6022158199998557,siglip_base+dinov2_large+dinov2+eva02_base,0.9482419642414004,0.00500312695434646,0
FMD,svm,2026,3,full,gfs,0.9748039798039798,0.975,3,2560,1.2170867470049416,siglip_base+dinov2_large+mae_base,0.9798808760615416,full,topk_individual,0.9799718103890118,0.98,3,2560,0.4842482699996253,siglip_base+dinov2_large+dinov2,0.9536450961530072,-0.005167830585032007,0
FMD,svm,2026,4,full,gfs,0.984971810389012,0.985,3,3072,1.1501107020012569,siglip_base+dinov2_large+efficientnet_b0,0.979974949098826,full,topk_individual,0.9949968730456537,0.995,3,2560,0.4832799539999541,siglip_base+eva02_base+dinov2_large,0.9564453053488264,-0.010025062656641603,512
FMD,resmlp,42,0,full,gfs,0.949503410233774,0.95,3,2560,2.745826241000032,siglip_base+dinov2_large+mae_base,0.9824545239741004,full,topk_individual,0.944628329609074,0.945,3,2304,2.0187037690011493,siglip_base+eva02_base+dinov2,0.959555730453908,0.004875080624700101,256
