dataset,classifier,seed,outer_fold,dimensions__best_individual,dimensions__full_concat,dimensions__gfs,dimensions__homogeneous,dimensions__topk_individual,macro_f1__best_individual,macro_f1__full_concat,macro_f1__gfs,macro_f1__homogeneous,macro_f1__topk_individual,inner_best_single,k_gfs,gfs_steps,headroom,completa_menos_gfs
DTD,svm,42,1,768.0,20652.0,4864.0,3328.0,4480.0,0.8482174614162562,0.8700948706771452,0.8627112503680314,0.8585986869072791,0.8661153319985179,0.835883757300428,6,6,0.16411624269957203,0.00738362030911377
DTD,svm,42,2,768.0,20652.0,7168.0,1792.0,5248.0,0.8436546470542189,0.8642568609663348,0.8692427119965799,0.8645328946407714,0.8746998992295328,0.8389935930916341,7,7,0.16100640690836587,-0.00498585103024507
DTD,svm,42,3,768.0,20652.0,4736.0,1792.0,4480.0,0.8511027603772083,0.8743609470774989,0.8781074965106591,0.8624302868825315,0.8702437177591391,0.8362066470689634,6,6,0.16379335293103658,-0.003746549433160218
DTD,svm,42,4,768.0,20652.0,3858.0,2944.0,3712.0,0.8481253041000519,0.8696444609041534,0.8736016973754247,0.8702228640676549,0.8726014787301294,0.8366025143733156,5,7,0.16339748562668444,-0.00395723647127133
DTD,svm,42,5,768.0,20652.0,5448.0,2176.0,5248.0,0.8439604250914322,0.8637491522512696,0.8667548055442276,0.8615660592728837,0.8714620476655525,0.8365268835871043,7,7,0.16347311641289575,-0.0030056532929579882
DTD,svm,42,6,768.0,20652.0,6022.0,2944.0,5248.0,0.8595923890867194,0.8675177978637983,0.8810232775698907,0.8737821754153502,0.8844984037004693,0.8313083680631034,7,7,0.16869163193689662,-0.013505479706092394
DTD,svm,42,7,1024.0,20652.0,3328.0,2944.0,3328.0,0.8262642732597907,0.8442629354344058,0.855741022433436,0.8439044654878217,0.8545709020553227,0.8424340428819569,4,6,0.1575659571180431,-0.01147808699903019
DTD,svm,42,8,768.0,20652.0,11520.0,1536.0,6016.0,0.8411609583296416,0.8647989719022667,0.8740817677877964,0.8524809647874374,0.8735974481304049,0.8363688515160801,8,8,0.1636311484839199,-0.009282795885529715
DTD,svm,42,9,1024.0,20652.0,2608.0,2560.0,3328.0,0.8234893075360027,0.8535743018431456,0.8613611623891602,0.8525730185467245,0.8604397863904593,0.8466777514837296,4,6,0.1533222485162704,-0.007786860546014518
FMD,resmlp,42,0,768.0,20652.0,2560.0,2560.0,2304.0,0.9447274364013176,0.9399894753026375,0.949503410233774,0.949503410233774,0.944628329609074,0.9701862497992002,3,4,0.029813750200799793,-0.009513934931136503
FMD,resmlp,42,1,768.0,20652.0,1792.0,1792.0,1536.0,0.9748587933247752,0.9652005247640678,0.9898587933247752,0.9898587933247752,0.98510989010989,0.9686066244410275,2,4,0.03139337555897248,-0.024658268560707408
FMD,resmlp,42,2,768.0,20652.0,4404.0,2688.0,3712.0,0.9751067631555436,0.94521258587369,0.9799906191369606,0.974987492182614,0.9799906191369606,0.9648900847761566,5,8,0.035109915223843435,-0.03477803326327067
FMD,resmlp,42,3,768.0,20652.0,3510.0,1792.0,5248.0,0.9801036362011972,0.9695674458190504,0.9899937460913072,0.99010989010989,0.984855666370429,0.9624703820997146,7,7,0.03752961790028542,-0.02042630027225678
FMD,resmlp,42,4,768.0,20652.0,3456.0,2176.0,3328.0,0.9652099056271072,0.9602897569636384,0.9701067631555436,0.9653765212109244,0.9699718103890118,0.9673589105469571,4,4,0.03264108945304289,-0.009817006191905175
FMD,resmlp,123,0,768.0,20652.0,4372.0,2560.0,3712.0,0.9649686834346654,0.9602036517184144,0.9799718103890118,0.9799686834346656,0.984855666370429,0.9673453897089968,5,7,0.03265461029100325,-0.019768158670597447
FMD,resmlp,123,1,768.0,20652.0,1792.0,1792.0,1536.0,0.9799968730456534,0.9550057823600232,0.9849937460913072,0.9849937460913072,0.9699686834346654,0.9662791905436022,2,4,0.03372080945639777,-0.029987963731283984
FMD,resmlp,123,2,768.0,20652.0,4426.0,1792.0,4480.0,0.9700848274532484,0.9799686834346656,0.984971810389012,0.984971810389012,0.9801928684007676,0.9673768414622073,6,7,0.03262315853779274,-0.00500312695434646
