experiment,dataset,strategy,extractor,clf,mean_f1,std_f1,n_samples,emb_dim
Exp1_linear_probing,VisTex,linear_probe,vgg16,knn,0.5959948084496955,0.0472123954330588,167,4096
Exp1_linear_probing,VisTex,linear_probe,vit_b16,knn,0.6816470047171801,0.055604787079691,167,768
Exp2_finetune_lora,DTD,lora,dinov2,n/a,0.8521456841406776,0.0067572886786878,5640,n/a
Exp2_finetune_lora,FMD,lora,dinov2,n/a,0.9529858661568964,0.0122022180452963,1000,n/a
Exp2_finetune_lora,KTH-TIPS2-b,lora,dinov2,n/a,0.998599164017236,0.0008846160038209,3564,n/a
Exp2_finetune_lora,GTOS-Mobile,lora,dinov2,n/a,0.9802819705171368,0.0046919737485421,4991,n/a
Exp2_finetune_lora,VisTex,lora,dinov2,n/a,0.6190154076870868,0.072316073771024,167,n/a
Exp3_concat_prefix,DTD,k=1,lbp,svm,0.1013831547305961,0.0098174527462078,n/a,54
Exp3_concat_prefix,DTD,k=1,lbp,knn,0.25458927462799,0.0140229139416499,n/a,54
Exp3_concat_prefix,DTD,k=1,lbp,rf,0.3255628803805238,0.0144867148069111,n/a,54
Exp3_concat_prefix,DTD,k=2,lbp + glcm,svm,0.1328014871240133,0.0092878156714804,n/a,72
Exp3_concat_prefix,DTD,k=2,lbp + glcm,knn,0.2585622586047081,0.0115469614407813,n/a,72
Exp3_concat_prefix,DTD,k=2,lbp + glcm,rf,0.335428440854293,0.010284967422416,n/a,72
Exp3_concat_prefix,DTD,k=3,lbp + glcm + gabor,svm,0.1586492559368647,0.0060498955954174,n/a,120
Exp3_concat_prefix,DTD,k=3,lbp + glcm + gabor,knn,0.2517523211128619,0.0147389001384705,n/a,120
Exp3_concat_prefix,DTD,k=3,lbp + glcm + gabor,rf,0.3529563936852141,0.0090914043299107,n/a,120
Exp3_concat_prefix,DTD,k=4,lbp + glcm + gabor + hog,svm,0.2476653318546077,0.0031470380399852,n/a,1884
Exp3_concat_prefix,DTD,k=4,lbp + glcm + gabor + hog,knn,0.2285924428229321,0.0089868696349419,n/a,1884
Exp3_concat_prefix,DTD,k=4,lbp + glcm + gabor + hog,rf,0.3273914864000317,0.0165178967299221,n/a,1884
Exp3_concat_prefix,DTD,k=5,lbp + glcm + gabor + hog + drlbp,svm,0.2651047852429103,0.0041131215833407,n/a,1964
Exp3_concat_prefix,DTD,k=5,lbp + glcm + gabor + hog + drlbp,knn,0.2450081104719414,0.0138994352815457,n/a,1964
Exp3_concat_prefix,DTD,k=5,lbp + glcm + gabor + hog + drlbp,rf,0.3351763372849921,0.0143460415353289,n/a,1964
Exp3_concat_prefix,DTD,k=6,lbp + glcm + gabor + hog + drlbp + resnet50,svm,0.7477409879142013,0.0104563607873693,n/a,4012
Exp3_concat_prefix,DTD,k=6,lbp + glcm + gabor + hog + drlbp + resnet50,knn,0.6713105380873496,0.009321487315115,n/a,4012
Exp3_concat_prefix,DTD,k=6,lbp + glcm + gabor + hog + drlbp + resnet50,rf,0.6625544190529533,0.008031981731774,n/a,4012
Exp3_concat_prefix,DTD,k=7,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,svm,0.7951726735542123,0.010304153249579,n/a,4780
Exp3_concat_prefix,DTD,k=7,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,knn,0.7384113739727005,0.0154040525007346,n/a,4780
Exp3_concat_prefix,DTD,k=7,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,rf,0.7095486717818538,0.0162958340909686,n/a,4780
Exp3_concat_prefix,DTD,k=8,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,svm,0.7985396815257307,0.005212785990322,n/a,6060
Exp3_concat_prefix,DTD,k=8,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,knn,0.7447208648090189,0.0076981141444595,n/a,6060
Exp3_concat_prefix,DTD,k=8,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,rf,0.7096967847970148,0.0102273919042155,n/a,6060
Exp3_concat_prefix,DTD,k=9,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,svm,0.8098934511081394,0.008040604274209,n/a,6828
