dataset,clf,best_extractor,best_mean_f1,best_std_f1,comparison_extractor,comparison_mean_f1,comparison_std_f1,delta,t_stat,p_value,p_value_holm,cohens_d,rank,significant_05,significant_01,significant_001
CUReT,svm,dinov2_large,0.9937884824023783,0.0016899785419444405,efficientnet_b0,0.9870248893074101,0.0033077332460682654,0.006763593094968212,3.8382292439162877,0.018487499807611777,0.08698116087077007,1.7165083000892616,10,False,False,False
CUReT,svm,dinov2_large,0.9937884824023783,0.0016899785419444405,convnext_v2_t,0.9885530014442219,0.0031684121642346517,0.005235480958156402,3.040064689003202,0.038399799122565324,0.08698116087077007,1.359558259768531,11,False,False,False
CUReT,svm,dinov2_large,0.9937884824023783,0.0016899785419444405,lbp,0.15186419354228192,0.010315575932335907,0.8419242888600964,178.19469394893966,5.949507316285438e-09,7.73435951117107e-08,79.69108977237686,12,True,True,True
CUReT,svm,dinov2_large,0.9937884824023783,0.0016899785419444405,glcm,0.07990565982067718,0.005171566796068278,0.9138828225817011,326.9948767579197,5.247595848999669e-10,7.871393773499503e-09,146.2365545215746,13,True,True,True
CUReT,svm,dinov2_large,0.9937884824023783,0.0016899785419444405,gabor,0.08975012313442195,0.008033848479373497,0.9040383592679563,268.32459365561766,1.1573617271041617e-09,1.6203064179458263e-08,119.99840627386587,14,True,True,True
CUReT,svm,dinov2_large,0.9937884824023783,0.0016899785419444405,hog,0.6064610594902614,0.010160125558496184,0.38732742291211686,91.2276774297772,8.655595831209415e-08,1.0386714997451298e-06,40.798257628183634,15,True,True,True
CUReT,svm,dinov2_large,0.9937884824023783,0.0016899785419444405,drlbp,0.12251366245330539,0.0037654791020263266,0.8712748199490729,490.13730410898944,1.0396045406409594e-10,1.663367265025535e-09,219.1960660040919,16,True,True,True
Soil,knn,efficientnet_b0,0.7956561837103145,0.03959394958940923,vit_b16,0.7664345548894372,0.02809353025589452,0.02922162882087731,2.020315813965084,0.11345691439212144,0.6819799037681408,0.9035126991808133,1,False,False,False
Soil,knn,efficientnet_b0,0.7956561837103145,0.03959394958940923,swin_t,0.7696995520634589,0.02416231697239783,0.025956631646855688,1.9174132578187844,0.12765113380617218,0.6819799037681408,0.8574932770600987,2,False,False,False
Soil,knn,efficientnet_b0,0.7956561837103145,0.03959394958940923,deit_s,0.7311326698808671,0.03457544950219324,0.06452351382944743,2.7881881277094753,0.04940336897611971,0.44463032078507736,1.2469156374991537,3,False,False,False
Soil,knn,efficientnet_b0,0.7956561837103145,0.03959394958940923,dinov2_small,0.7321737822381013,0.04540933222038289,0.06348240147221329,3.140702599490252,0.03482416670097111,0.3482416670097111,1.4045649018830235,4,False,False,False
Soil,knn,efficientnet_b0,0.7956561837103145,0.03959394958940923,dinov2,0.7548064217869853,0.016397445808705842,0.04084976192332923,2.275086695793299,0.0852474879710176,0.6819799037681408,1.0174497012744983,5,False,False,False
Soil,knn,efficientnet_b0,0.7956561837103145,0.03959394958940923,dinov2_large,0.7550011154678965,0.017949058644783113,0.040655068242418047,2.217299458530722,0.09088480867633,0.6819799037681408,0.9916064631254482,6,False,False,False
Soil,knn,efficientnet_b0,0.7956561837103145,0.03959394958940923,vgg16,0.7519831438545872,0.025498768035553936,0.04367303985572735,4.858271558011439,0.008289647522712513,0.09118612274983764,2.1726850912653894,7,False,False,False
Soil,knn,efficientnet_b0,0.7956561837103145,0.03959394958940923,resnet50,0.7785022716968297,0.03916045933768744,0.017153912013484818,0.8322664661971193,0.45206130274875855,1.0,0.37220087875398206,8,False,False,False
Soil,knn,efficientnet_b0,0.7956561837103145,0.03959394958940923,resnet101,0.785574585849944,0.027599436337431168,0.01008159786037055,0.6561112296793685,0.5475771434329648,1.0,0.2934218620642692,9,False,False,False
Soil,knn,efficientnet_b0,0.7956561837103145,0.03959394958940923,densenet121,0.7901264563815676,0.035886127747911487,0.005529727328746903,0.32531588656979205,0.7612471865985069,1.0,0.1454856873023055,10,False,False,False
Soil,knn,efficientnet_b0,0.7956561837103145,0.03959394958940923,convnext_v2_t,0.7804175641108231,0.009835348269745357,0.015238619599491465,0.7351521914380056,0.5030226035544754,1.0,0.32877005476557075,11,False,False,False
Soil,knn,efficientnet_b0,0.7956561837103145,0.03959394958940923,lbp,0.41107726965039637,0.03132028387022544,0.3845789140599182,24.867202901259905,1.552300744927975e-05,0.00021732210428991648,11.120951219177842,12,True,True,True
Soil,knn,efficientnet_b0,0.7956561837103145,0.03959394958940923,glcm,0.30355737899839036,0.02375165579101144,0.4920988047119242,26.423758661958914,1.2190948668068768e-05,0.00018286423002103152,11.817064117554034,13,True,True,True
Soil,knn,efficientnet_b0,0.7956561837103145,0.03959394958940923,gabor,0.4007494961919704,0.02853430919819962,0.3949066875183441,17.02659144492374,6.977804036531384e-05,0.0008373364843837661,7.614523179046348,14,True,True,True
Soil,knn,efficientnet_b0,0.7956561837103145,0.03959394958940923,hog,0.2504022953698461,0.0256891989079584,0.5452538883404685,19.08550418034448,4.440477938713169e-05,0.000577262132032712,8.53529694628772,15,True,True,True
Soil,knn,efficientnet_b0,0.7956561837103145,0.03959394958940923,drlbp,0.3472839840953777,0.023703087509053276,0.44837219961493685,39.523272191282594,2.4484343869750723e-06,3.917495019160116e-05,17.675344661890207,16,True,True,True
Soil,resmlp,vit_b16,0.8579160375065064,0.04165760241928163,convnext_v2_t,0.8457720963590256,0.040653052558443876,0.012143941147480741,0.7345657231876371,0.5033430916366398,1.0,0.32850777818888355,1,False,False,False
Soil,resmlp,vit_b16,0.8579160375065064,0.04165760241928163,deit_s,0.8057060291499758,0.031079986429875917,0.05221000835653056,3.338270946115323,0.028882224460239365,0.317704469062633,1.4929201525225906,2,False,False,False
Soil,resmlp,vit_b16,0.8579160375065064,0.04165760241928163,densenet121,0.8559282796207942,0.020644071955478082,0.001987757885712149,0.14382815804685048,0.8925912626022168,1.0,0.06432190769218682,3,False,False,False
Soil,resmlp,vit_b16,0.8579160375065064,0.04165760241928163,dinov2,0.8221974432629754,0.03131558643445304,0.035718594243530966,1.7143265334644742,0.16161985933642553,1.0,0.7666701328751704,4,False,False,False
Soil,resmlp,vit_b16,0.8579160375065064,0.04165760241928163,dinov2_large,0.8136601268767049,0.0361972989025256,0.0442559106298015,2.7145743091713945,0.05328469062360568,0.4795622156124511,1.2139945370230525,5,False,False,False
Soil,resmlp,vit_b16,0.8579160375065064,0.04165760241928163,dinov2_small,0.8354552279565161,0.013473768674418558,0.0224608095499903,1.1049053801745123,0.3311884073495047,1.0,0.494128707744221,6,False,False,False
Soil,resmlp,vit_b16,0.8579160375065064,0.04165760241928163,drlbp,0.33347423793731956,0.02263874746859132,0.5244417995691868,21.676497240094196,2.679525686150845e-05,0.00040192885292262675,9.694024268408253,7,True,True,True
