dataset,extractors,clf,mean_f1,std_f1,single_dim,k,concat_dim
KTH-TIPS2,['deit_s'],svm,0.9991204665214338,0.0008222512274538,384,1,384
KTH-TIPS2,['deit_s'],knn,0.9984437780074648,0.0005410659260643,384,1,384
KTH-TIPS2,['deit_s'],rf,0.9949487554474488,0.0008196992836354,384,1,384
KTH-TIPS2,['dinov2'],svm,0.9993321457488183,0.0005455553558983,768,1,768
KTH-TIPS2,['dinov2'],knn,0.9986990611597724,0.0007921963469611,768,1,768
KTH-TIPS2,['dinov2'],rf,0.9975513910032952,0.0008103247879042,768,1,768
KTH-TIPS2,['dinov2_large'],svm,0.9997805517273288,0.0004388965453422,1024,1,1024
KTH-TIPS2,['dinov2_large'],knn,0.9993404259747946,0.0005392336106178,1024,1,1024
KTH-TIPS2,['dinov2_large'],rf,0.99777079420644,0.0010190848330749,1024,1,1024
KTH-TIPS2,['resnet50'],svm,0.9986732131669795,0.001077347137418,2048,1,2048
KTH-TIPS2,['resnet50'],knn,0.9966604822738336,0.0023775406830765,2048,1,2048
KTH-TIPS2,['resnet50'],rf,0.99170338916504,0.0036195816350574,2048,1,2048
KTH-TIPS2,['convnext_v2_t'],svm,0.9995518496118344,0.0005490648774389,768,1,768
KTH-TIPS2,['convnext_v2_t'],knn,0.9986443924945666,0.0013237789195283,768,1,768
KTH-TIPS2,['convnext_v2_t'],rf,0.997805795239055,0.0020941625305169,768,1,768
KTH-TIPS2,['efficientnet_b0'],svm,0.9997805517273288,0.0004388965453422,1280,1,1280
KTH-TIPS2,['efficientnet_b0'],knn,0.9984342345974988,0.0005734545935535,1280,1,1280
KTH-TIPS2,['efficientnet_b0'],rf,0.995559995095286,0.0015622315514437,1280,1,1280
KTH-TIPS2,['lbp'],svm,0.8428363997031351,0.0107244771097212,54,1,54
KTH-TIPS2,['lbp'],knn,0.8944868713313945,0.00861221862553,54,1,54
KTH-TIPS2,['lbp'],rf,0.9241881909396256,0.006732174254277,54,1,54
KTH-TIPS2,['glcm'],svm,0.3709863174607052,0.0085914598721687,18,1,18
KTH-TIPS2,['glcm'],knn,0.6061622095421605,0.010576754365501,18,1,18
KTH-TIPS2,['glcm'],rf,0.8024407017637651,0.0116695670928496,18,1,18
KTH-TIPS2,['gabor'],svm,0.5954441257056131,0.0179434515540269,48,1,48
KTH-TIPS2,['gabor'],knn,0.840249348791678,0.0043676013939864,48,1,48
KTH-TIPS2,['gabor'],rf,0.8844997795128083,0.0051302307149907,48,1,48
KTH-TIPS2,['hog'],svm,0.7753557926997976,0.0084710298165157,1764,1,1764
KTH-TIPS2,['hog'],knn,0.5775804732080718,0.0125011553848342,1764,1,1764
KTH-TIPS2,['hog'],rf,0.6430885896860405,0.0136220254739069,1764,1,1764
KTH-TIPS2,['drlbp'],svm,0.5573943479182614,0.015473468524284,80,1,80
KTH-TIPS2,['drlbp'],knn,0.7155859974955681,0.011205712800821,80,1,80
KTH-TIPS2,['drlbp'],rf,0.7735525971362025,0.0118342694730367,80,1,80
DTD,['vit_b16'],svm,0.7459288090889571,0.0134487542544693,768,1,768
DTD,['vit_b16'],knn,0.6884382121296161,0.0113465392003048,768,1,768
DTD,['vit_b16'],rf,0.6676550991044448,0.0094658390937989,768,1,768
DTD,['swin_t'],svm,0.7706769081982673,0.0119376305844925,768,1,768
DTD,['swin_t'],knn,0.7083255820996782,0.0158641496793317,768,1,768
