dataset,strategy,class,support,precision,recall,f1
DTD,GFS subset,sprinkled,120,0.7966101694915254,0.7833333333333333,0.7899159663865546
DTD,GFS subset,stained,120,0.7090909090909091,0.65,0.6782608695652174
DTD,GFS subset,stratified,120,0.8384615384615385,0.9083333333333333,0.872
DTD,GFS subset,striped,120,0.9629629629629629,0.8666666666666667,0.9122807017543859
DTD,GFS subset,studded,120,0.9338842975206612,0.9416666666666667,0.9377593360995851
DTD,GFS subset,swirly,120,0.7938931297709924,0.8666666666666667,0.8286852589641435
DTD,GFS subset,veined,120,0.8761061946902655,0.825,0.8497854077253219
DTD,GFS subset,waffled,120,0.9375,0.875,0.9051724137931034
DTD,GFS subset,woven,120,0.8106060606060606,0.8916666666666667,0.8492063492063492
DTD,GFS subset,wrinkled,120,0.9210526315789473,0.875,0.8974358974358975
DTD,GFS subset,zigzagged,120,0.9572649572649573,0.9333333333333333,0.9451476793248945
DTD,Full concat,banded,120,0.7878787878787878,0.8666666666666667,0.8253968253968254
DTD,Full concat,blotchy,120,0.4621212121212121,0.5083333333333333,0.48412698412698413
DTD,Full concat,braided,120,0.819672131147541,0.8333333333333334,0.8264462809917356
DTD,Full concat,bubbly,120,0.9435483870967742,0.975,0.9590163934426229
DTD,Full concat,bumpy,120,0.776,0.8083333333333333,0.7918367346938775
DTD,Full concat,chequered,120,0.9741379310344828,0.9416666666666667,0.9576271186440678
DTD,Full concat,cobwebbed,120,0.9912280701754386,0.9416666666666667,0.9658119658119658
DTD,Full concat,cracked,120,0.8345864661654135,0.925,0.8774703557312253
DTD,Full concat,crosshatched,120,0.8278688524590164,0.8416666666666667,0.8347107438016529
DTD,Full concat,crystalline,120,0.9913793103448276,0.9583333333333334,0.9745762711864406
DTD,Full concat,dotted,120,0.7844827586206896,0.7583333333333333,0.7711864406779662
DTD,Full concat,fibrous,120,0.8264462809917356,0.8333333333333334,0.8298755186721992
DTD,Full concat,flecked,120,0.7520661157024794,0.7583333333333333,0.7551867219917012
DTD,Full concat,freckled,120,0.9655172413793104,0.9333333333333333,0.9491525423728814
DTD,Full concat,frilly,120,0.9274193548387096,0.9583333333333334,0.9426229508196722
DTD,Full concat,gauzy,120,0.8728813559322034,0.8583333333333333,0.865546218487395
DTD,Full concat,grid,120,0.704,0.7333333333333333,0.7183673469387755
DTD,Full concat,grooved,120,0.7967479674796748,0.8166666666666667,0.8065843621399177
DTD,Full concat,honeycombed,120,0.9375,0.875,0.9051724137931034
DTD,Full concat,interlaced,120,0.9166666666666666,0.9166666666666666,0.9166666666666666
DTD,Full concat,knitted,120,0.8333333333333334,0.9166666666666666,0.873015873015873
DTD,Full concat,lacelike,120,0.9421487603305785,0.95,0.946058091286307
DTD,Full concat,lined,120,0.8090909090909091,0.7416666666666667,0.7739130434782608
DTD,Full concat,marbled,120,0.9196428571428571,0.8583333333333333,0.8879310344827587
DTD,Full concat,matted,120,0.8547008547008547,0.8333333333333334,0.8438818565400844
DTD,Full concat,meshed,120,0.8448275862068966,0.8166666666666667,0.8305084745762712
DTD,Full concat,paisley,120,0.9333333333333333,0.9333333333333333,0.9333333333333333
DTD,Full concat,perforated,120,0.816793893129771,0.8916666666666667,0.852589641434263
DTD,Full concat,pitted,120,0.6666666666666666,0.6333333333333333,0.6495726495726496
DTD,Full concat,pleated,120,0.8617886178861789,0.8833333333333333,0.8724279835390947
DTD,Full concat,polka-dotted,120,0.7983870967741935,0.825,0.8114754098360656
DTD,Full concat,porous,120,0.7166666666666667,0.7166666666666667,0.7166666666666667
DTD,Full concat,potholed,120,0.9586776859504132,0.9666666666666667,0.9626556016597511
DTD,Full concat,scaly,120,0.9274193548387096,0.9583333333333334,0.9426229508196722
DTD,Full concat,smeared,120,0.7567567567567568,0.7,0.7272727272727273
DTD,Full concat,spiralled,120,0.8207547169811321,0.725,0.7699115044247787
DTD,Full concat,sprinkled,120,0.725,0.725,0.725
DTD,Full concat,stained,120,0.7053571428571429,0.6583333333333333,0.6810344827586207
DTD,Full concat,stratified,120,0.823076923076923,0.8916666666666667,0.856
DTD,Full concat,striped,120,0.9719626168224299,0.8666666666666667,0.9162995594713657
DTD,Full concat,studded,120,0.9487179487179487,0.925,0.9367088607594937
DTD,Full concat,swirly,120,0.7886178861788617,0.8083333333333333,0.7983539094650206
DTD,Full concat,veined,120,0.8677685950413223,0.875,0.8713692946058091
DTD,Full concat,waffled,120,0.9196428571428571,0.8583333333333333,0.8879310344827587
DTD,Full concat,woven,120,0.803030303030303,0.8833333333333333,0.8412698412698413
DTD,Full concat,wrinkled,120,0.9380530973451328,0.8833333333333333,0.9098712446351931
DTD,Full concat,zigzagged,120,0.9327731092436975,0.925,0.9288702928870293
FMD,Mejor individual,fabric,100,0.9693877551020408,0.95,0.9595959595959596
FMD,Mejor individual,foliage,100,0.9433962264150944,1.0,0.970873786407767
FMD,Mejor individual,glass,100,0.9326923076923077,0.97,0.9509803921568627
FMD,Mejor individual,leather,100,1.0,0.96,0.9795918367346939
FMD,Mejor individual,metal,100,0.9065420560747663,0.97,0.9371980676328503
FMD,Mejor individual,paper,100,0.9326923076923077,0.97,0.9509803921568627
FMD,Mejor individual,plastic,100,0.93,0.93,0.93
FMD,Mejor individual,stone,100,0.979381443298969,0.95,0.9644670050761421
FMD,Mejor individual,water,100,1.0,0.93,0.9637305699481865
FMD,Mejor individual,wood,100,0.9894736842105263,0.94,0.9641025641025641
FMD,GFS subset,fabric,100,0.9423076923076923,0.98,0.9607843137254902
FMD,GFS subset,foliage,100,0.970873786407767,1.0,0.9852216748768473
